metodo,uri_decodificada,parametros,cuerpo_fragmento,user_agent,categoria_firma,etiqueta
GET,/inicio,,,Mozilla/5.0,navegacion,benigno
GET,/productos,pagina=1,,Mozilla/5.0,navegacion,benigno
GET,/buscar,q=teclado,,Chrome/120,navegacion,benigno
POST,/login,,usuario=demo&clave=correcta,Android,navegacion,benigno
GET,/salud,,,k6/0.49,navegacion,benigno
GET,/buscar,q=%27+OR+1%3D1--,,sqlmap/1.8,web-application-attack,sqli
GET,/producto,id=1+UNION+SELECT+password,,sqlmap/1.8,web-application-attack,sqli
POST,/login,,usuario=admin%27--&clave=x,sqlmap/1.8,web-application-attack,sqli
GET,/buscar,q=1%27+AND+SLEEP%285%29--,,curl/8.7,web-application-attack,sqli
GET,/item,id=1%3BSELECT+version%28%29,,sqlmap/1.8,web-application-attack,sqli
GET,/buscar,q=%3Cscript%3Ealert%281%29%3C%2Fscript%3E,,ZAP/2.15,web-application-attack,xss
GET,/perfil,nombre=%3Cimg+src%3Dx+onerror%3Dalert%281%29%3E,,curl/8.7,web-application-attack,xss
POST,/comentario,,texto=%3Csvg+onload%3Dalert%281%29%3E,ZAP/2.15,web-application-attack,xss
GET,/buscar,q=javascript%3Aalert%281%29,,ZAP/2.15,web-application-attack,xss
GET,/producto,nombre=%3Cbody+onload%3Dalert%281%29%3E,,curl/8.7,web-application-attack,xss
GET,/archivo,ruta=..%2F..%2Fetc%2Fpasswd,,curl/8.7,web-application-attack,traversal
GET,/descarga,fichero=..%5C..%5Cwindows%5Cwin.ini,,ZAP/2.15,web-application-attack,traversal
GET,/static/../../etc/hosts,,,curl/8.7,web-application-attack,traversal
GET,/imagen,nombre=%252e%252e%252fetc%252fpasswd,,ZAP/2.15,web-application-attack,traversal
GET,/api/file,path=....//....//etc/passwd,,curl/8.7,web-application-attack,traversal
GET,/.env,,,Nikto/2.5,attempted-recon,escaneo
GET,/admin,,,ffuf/2.1,attempted-recon,escaneo
GET,/phpinfo.php,,,Nikto/2.5,attempted-recon,escaneo
GET,/.git/config,,,ffuf/2.1,attempted-recon,escaneo
GET,/backup.zip,,,Nikto/2.5,attempted-recon,escaneo
POST,/login,,usuario=admin&clave=123456,hydra/9.5,authentication-failure,fuerza_bruta
POST,/login,,usuario=admin&clave=password,hydra/9.5,authentication-failure,fuerza_bruta
POST,/login,,usuario=admin&clave=admin,ffuf/2.1,authentication-failure,fuerza_bruta
POST,/login,,usuario=root&clave=toor,curl/8.7,authentication-failure,fuerza_bruta
POST,/login,,usuario=demo&clave=qwerty,curl/8.7,authentication-failure,fuerza_bruta
GET,/catalogo,categoria=audio,,Mozilla/5.0,navegacion,benigno
GET,/buscar,q=monitor,,Chrome/121,navegacion,benigno
GET,/producto,id=42,,Android,navegacion,benigno
POST,/perfil,,nombre=Ana&ciudad=Santa+Cruz,Flutter/3,navegacion,benigno
GET,/api/productos,limite=20&pagina=2,,k6/0.49,navegacion,benigno
GET,/buscar,q=admin%27+OR+%271%27%3D%271,,sqlmap/1.8,web-application-attack,sqli
GET,/item,id=-1+OR+2%3E1,,sqlmap/1.8,web-application-attack,sqli
POST,/usuarios,,nombre=x%27%3B+DROP+TABLE+usuarios--,ZAP/2.15,web-application-attack,sqli
GET,/reporte,filtro=1+UNION+ALL+SELECT+NULL%2CNULL,,sqlmap/1.8,web-application-attack,sqli
GET,/buscar,q=1%27+OR+BENCHMARK%281000%2CMD5%281%29%29--,,curl/8.7,web-application-attack,sqli
GET,/buscar,q=%3Cscript%3Edocument.cookie%3C%2Fscript%3E,,ZAP/2.15,web-application-attack,xss
POST,/mensaje,,texto=%3Ciframe+src%3Djavascript%3Aalert%281%29%3E,ZAP/2.15,web-application-attack,xss
GET,/perfil,bio=%3Cdetails+open+ontoggle%3Dalert%281%29%3E,,curl/8.7,web-application-attack,xss
GET,/buscar,q=%22%3E%3Csvg%2Fonload%3Dalert%281%29%3E,,ZAP/2.15,web-application-attack,xss
POST,/comentario,,texto=%3Cmath+href%3Djavascript%3Aalert%281%29%3E,Firefox,web-application-attack,xss
GET,/descarga,archivo=..%2F..%2F..%2Fetc%2Fshadow,,curl/8.7,web-application-attack,traversal
GET,/plantilla,nombre=..%5C..%5Cboot.ini,,ZAP/2.15,web-application-attack,traversal
GET,/static/%2e%2e/%2e%2e/etc/passwd,,,curl/8.7,web-application-attack,traversal
GET,/api/log,ruta=%252e%252e%252fvar%252flog%252fauth.log,,ZAP/2.15,web-application-attack,traversal
GET,/imagen,path=....%2F%2F....%2F%2Fetc%2Fhosts,,curl/8.7,web-application-attack,traversal
GET,/wp-admin,,,Nikto/2.5,attempted-recon,escaneo
GET,/server-status,,,ffuf/2.1,attempted-recon,escaneo
GET,/robots.txt,,,Nikto/2.5,attempted-recon,escaneo
GET,/actuator/health,,,ffuf/2.1,attempted-recon,escaneo
GET,/vendor/phpunit,,,Nikto/2.5,attempted-recon,escaneo
POST,/login,,usuario=admin&clave=letmein,hydra/9.5,authentication-failure,fuerza_bruta
POST,/login,,usuario=admin&clave=welcome,hydra/9.5,authentication-failure,fuerza_bruta
POST,/login,,usuario=administrator&clave=admin123,ffuf/2.1,authentication-failure,fuerza_bruta
POST,/login,,usuario=root&clave=123456,curl/8.7,authentication-failure,fuerza_bruta
POST,/login,,usuario=test&clave=test,hydra/9.5,authentication-failure,fuerza_bruta
